Headline,Label
"Darrakht par ugne wala naya phal, scientists bhi dekh kar pareshan 😲",1
"Dunya ka sab se bara jhoot samnay agaya, sab dang reh gaye 💯",1
Karachi mein samandar ke beech naya jazeera nikal aya?,1
Board of Education ne naye exams schedule ka elaan kar diya.,0
Multan mein cricket stadium ki tazeer-o-araish ka kaam shuru.,0
National Highway par dhund ki wajah se traffic mualtal.,0
Jinnat ka saya ya sirf waham? Is puranay qillay ki asaliyat samnay agayi.,1
Wizarat-e-Sehat ne polio ke khilaf naya awareness program shuru kiya.,0
Islamabad mein naye tree plantation campaign ka target mukammal.,0
"Larkiyon ke liye bari khabar, ab ghar bethe makeup se paise kamayein.",1
India aur Pakistan ke darmiyan bari jang tal gayi? Khufia mulaqat ka ahwal.,1
Sindh Education Department ne naye primary schools ki tameer ki manzoori di.,0
National Highway par shadeed dhund ki wajah se traffic ki raftar sust.,0
"Aisa nuskha jo dimagh ki quwwat ko 10 guna barha de, aaj hi azmayein 🔥",1
Pakistan ne naye communication satellite ki launching ki tayari shuru kar di.,0
Karachi Port par naya cargo ship 40 hazar ton raw material le kar pohanch gaya.,0
"America mein naya qanoon, ab se har shakhs ko ye kaam karna lazmi hoga.",1
"Karachi mein naye flyover ka kaam mukammal, kal se traffic ke liye khul jaye ga.",0
"iPhone 15 sasta lenay ka aakhri moqa, stock khatam honay wala hai.",1
"Sona sasta honay wala hai, aglay 24 ghantay bohat aham hain.",1
Islamabad mein tree plantation campaign ka iftitah.,0
Larki ne live show mein host ko thappar maar diya? Video dekhein.,1
Karachi mein naye bus service ka iftitah kar diya gaya.,0
Dunya ka sab se uncha tower Pakistan mein banay ga? Bari khabar.,1
Smartphone ki screen saaf karne ka sab se asaan aur sasta desi tareeqa ✅,1
NASA ne asman se anay wali ajeeb o ghareeb awazein record kar lein.,1
Aisi machine jo mitti se sona banati hai? Janiye asaliyat.,1
"Dunya ka sab se bara jazeera daryaft, kia wahan Aliens rehte hain?",1
Punjab Hukumat ne naye health cards jari karne ka faisla kiya.,0
Sindh Education Department ne naye schools ki manzoori de di.,0
Ghar baithe lakhon kamane ka asaan tareeqa jo koi nahi batata.,1
Kia waqai ye pathar bolta hai? Herat angaiz manzar.,1
Scientists ka herat angaiz dawa: Insaan 150 saal tak zinda reh sakta hai?,1
"Mahira Khan ki shadi ki nayi tasveerein leak, fans ka mila jula radd-e-amal.",1
Wazir-e-Azam ne naye solar power park ka iftitah kar diya.,0
Board of Education ne matric results ki tareekh ka elaan kar diya.,0
Karachi mein naye water plant ka kaam aglay haftay mukammal hoga.,0
Cricket Board ne naye coach ka intekhab aglay 48 ghantay mein karne ka kaha.,0
State Bank ke mutabiq foreign exchange reserves mein 150 million ka izafa hua.,0
Sasti flights book karne ki aisi trick jo travel agents aap se chupate hain.,1
Karachi mein asman se barish ki bajaye ajeeb cheezein girne lagein?,1
Punjab Hukumat ne kisanon ke liye naye sasta tractor scheme ka aghaz kiya.,0
Ameer ban'nay ki dua jis ne hazaron ki qismat badal di.,1
"NASA ne Mars par pani daryaft kar liya, kia wahan log reh saktay hain?",1
PIA ne naye international routes par flight operation shuru kiya.,0
Health Department ne naye seasonal flu ke khilaf medical alert jari kiya.,0
Aisa nuskha jo safaid baalon ko hamesha ke liye kala kar de 💯,1
Khushkhabri! Petrol 100 rupay sasta? Janiye kahan se.,1
Sindh Hukumat ne naye rozgar scheme ka aghaz kar diya.,0
"Oont ne Malik ki jaan bacha li, herat angaiz manzar dekh kar sab dang.",1
State Bank ke foreign exchange reserves mein 200 million ka izafa.,0
State Bank ne mobile banking ke liye naye security features mutarif karwaye.,0
Smartphone ki ye 3 settings abhi badlein warna data chori ho jaye ga.,1
National Assembly ka ijlas kal tak ke liye muatwi.,0
Lahore Zoo mein naye african sher laye gaye.,0
"NASA ne Zameen jaisa naya planet daryaft kar liya, kia wahan zindagi mumkin hai?",1
Pakistan ne naye trade agreements par sign kar diye.,0
🚨 Bari khabar: Cricket team mein Shahid Afridi ki wapsi? Fans mein josh. ,1
PIA ne Lahore se London ke liye naye flights ka aghaz kar diya.,0
Secret code jo aap ke mobile ki speed 100 guna barha de ga.,1
Pakistan Railway ne naye passenger coaches mangwane ka faisla kiya.,0
Zindagi badal dene wala sabaq jo aap ko school mein nahi sikhaya gaya.,1
"Imran Khan ne jail se bara surprise plan kar liya, hukumat pareshan.",1
"America mein asman se ajeeb makhlooq gir gayi, log darr gaye.",1
"Aisi machine jo hawa se pani banati hai, janiye kaisa mumkin hai.",1
Pakistan Railway ne naye engine mangwane ka faisla kar liya.,0
Jinnat ka saya ya sirf waham? Is ghar ki asaliyat dekh kar darr jayenge.,1
Faisalabad mein textile mill workers ne apni harrtal khatam kar di.,0
Coke Studio ka naya gana copy nikla? Asli shayar ne saboot pesh kar diye.,1
Pakistan ne naya satellite faza mein bhaijne ki tayari shuru kar di.,0
🚨Bari khabar: Smartphone charge karne ka aisa tareeqa jo battery 10 din chalaye.,1
Karachi Port par naya cargo ship 50 hazar ton gandum le kar pohanch gaya.,0
Peshawar mein naye hospital building ka tameerati kaam tezi se jari.,0
Coke Studio ka naya gana copy nikla? Asli singer samnay agaya.,1
University of Karachi ne naye admissions ka schedule jari kiya.,0
Health Ministry ne dengue ke khilaf nai campaign shuru kar di.,0
Sajal Aly aur Ahad Raza Mir dobara ek sath? Sachai samnay agayi.,1
Faisalabad mein textile industry ne harrtal khatam karne ka elaan kiya.,0
Wazir-e-Azam ne naye hospital ka iftitah kar diya ✅,0
FBR ne tax returns jama karanay ki tareekh 15 din barha di.,0
Elon Musk ne Pakistan anay ka bara elaan kar diya!,1
Dunya ki sab se mahangi gari Pakistan mein? Janiye kis ne kharidi.,1
Kia waqai ye darakht chalta hai? Scientists ki nayi tehqiq 😲,1
Cricket Board ne naye selection committee ke members ka elaan kiya.,0
Islamabad Police ne naye digital patrolling units mutarif karwaye.,0
"Mulk mein naya tax nizam lagu, ab har cheez sasti ho jaye gi?",1
FBR ne tax returns jama karanay ki tareekh mein mazeed 10 din ka izafa kiya.,0
Mulk mein naya nizam-e-hukumat anay wala hai? Bari peshraft.,1
Pakistan ne UAE ke sath naye trade agreement par kaam mukammal kiya.,0
"Hollywood actress ne Pakistan anay ka khuwahish zahir kar di, fans khush.",1
Machli ke andar se sona nikal aya? Dekhiye herat angaiz video.,1
Islamabad Police ne naye patrolling units qayam kar diye.,0
State Bank ne interest rate mein 100 base points ka izafa kiya.,0
"iPhone 15 muft milne ka sunahri moqa, sirf aaj ke liye.",1
Cristiano Ronaldo ne saudi arab mein mahal kharid liya? Haqiqat janiye 😲,1
National Highway Authority ne naye motorway tolls ki list jari kar di.,0
"Islamabad mein security ke sakht intezamat, naye checkposts qayam.",0
"Sona sasta honay ki sab se bari khabar, sirf 2 ghantay baqi.",1
"Bitcoin ne sab ko peechay chor diya, raato raat ameer ban'nay ka moqa.",1
Wizarat-e-Sehat ne polio ke khilaf mulk bhar mein muhim ka aghaz kiya.,0
Kya waqai dunya aglay mahinay khatam ho rahi hai? Scientist ka jawab.,1
Nawaz Sharif ne hamesha ke liye siyasat chornay ka faisla kiya?,1
Karachi University ne exams ka naya schedule jari kar diya.,0
Health Department ne naye virus ke khilaf alert jari kar diya.,0
Islamabad mein security high alert par rakh di gayi hai.,0
National Highway Authority ne naye tolls ka elaan kiya.,0
Aisa fal jo maut ke ilawa har bimari ka ilaj hai? 😲,1
Kia waqai ye larki hawa mein urr rahi hai? Herat angaiz video viral.,1
Peshawar mein naye flyover ka tameerati kaam mukammal.,0
Islamabad mein international conference kal se shuru hogi.,0
Pakistan aur China ke darmiyan naye tijarati moahiday par dastakhat.,0
NASA ne chand par purani imarat daryaft kar li? Dekhiye video.,1
Karachi mein naye electric bus service ke naye routes ka iftitah.,0
Pakistan aur Turkiye ke darmiyan difai tawoon barhane par ittefaq.,0
Larkon ke liye bari khabar: Naya fashion jo dunya bhar mein chha gaya.,1
State Bank ne digital banking ke naye rules jari kar diye.,0
Machli ne samandar ke neechay se kya nikala? Dekh kar aap ke hosh urr jayenge.,1
Dunya ka sab se uncha pahar Pakistan mein daryaft? Herat angaiz.,1
Health Ministry ne dengue ke khilaf mulk bhar mein spray muhim ka aghaz kiya.,0
Dunya ki sab se khatarnak sarak jahan har roz haadsa hota hai.,1
"WhatsApp ka naya feature, ab koi aap ka status chori nahi kar sakay ga 💯",1
Sindh Assembly ne naya education bill kasrat-e-rai se manzoor kiya.,0
Gold rates mein aaj 1500 rupay ki barri kami record ki gayi.,0
"Lahore Zoo mein naye african hathi laye gaye, bachon ka rash.",0
Google ne har user ke liye 5000 rupay ka inam rakha hai?,1
Raat ko ye cheez khane se mardana taqat mein 10 guna izafa?,1
State Bank ki maheena-war inflation report mein mazeed kami ka dawa.,0
Punjab Hukumat ne naye tractor scheme shuru kar di.,0
"Nawaz Sharif ki London mein khufia meeting, kya naya setup anay wala hai?",1
Video dekhein: Jahaz ki chat par baith kar safar karne wala shakhs.,1
University of Karachi ne master degree ke admissions ka schedule jari kiya.,0
Sasti flights book karne ka secret code jo sirf agents ko pata hai.,1
Larkiyon ke liye khushkhabri: Ab ghar baithe parlour se lakhon kamayein.,1
Sindh Assembly ne naya local government bill manzoor kar liya.,0
Raat ko ye 2 surtein parhne se har mushkil hal ho jaye gi ✅,1
Punjab mein naye dam ki tameer ke liye funds jari kar diye gaye.,0
"Wazan kam karne ka 2 din ka khufia nuskha, sab hairan 💯",1
Gold rates mein aaj 500 rupay ki kami dekhi gayi.,0
"Aisi khufia jagah jahan kashish-e-saqal (gravity) kaam nahi karti, dekhiye video.",1
Pakistan ne naya atomi reactor kamyabi se shuru kar diya.,0
Higher Education Commission ne naye local scholarships ka quota barha diya.,0
Multan mein naye cricket academy ka aghaz aglay haftay se hoga.,0
Karachi mein naye water treatment plant ka iftitah kal hoga.,0
"Bari khabar: Cricket team mein 5 naye khilari shamil, fans hairan 🔥",1
"Imran Khan ne jail se naya khat likh diya, hukumat mein halchal.",1
Kia dunya waqai andheray mein doobne wali hai? NASA ka alert!,1
Aliens ne zameen par paigham bhaij diya? NASA pareshan 😲,1
Supreme Court ne makhsoos nishistoon ka faisla mehfooz kar liya.,0
Jinnat ka qabza ya purana waham? Is hospital ki asaliyat dekh kar darr jayenge.,1
